Ensembl	Gene	"Gene synonym"	"Gene description"	Uniprot	"Protein class"
ENSG00000110195	FOLR1	FOLR	"Folate receptor 1"	P15328	"Disease related genes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters"
ENSG00000160282	FTCD		"Formimidoyltransferase cyclodeaminase"	O95954	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000068438	FTSJ1	"CDLIV, JM23, MRX44, MRX9, SPB1, TRM7, TRMT7"	"FtsJ RNA methyltransferase homolog 1"	Q9UET6	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000179163	FUCA1		"Alpha-L-fucosidase 1"	P04066	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000165060	FXN	"CyaY, FA, FARR, FRDA, X25"	Frataxin	Q16595	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000174804	FZD4	"CD344, EVR1"	"Frizzled class receptor 4"	Q9ULV1	"CD markers, Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins"
ENSG00000164930	FZD6	Hfz6	"Frizzled class receptor 6"	O60353	"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins"
ENSG00000131482	G6PC	"G6PT, GSD1a"	"Glucose-6-phosphatase catalytic subunit"	P35575	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000141349	G6PC3	UGRP	"Glucose-6-phosphatase catalytic subunit 3"	Q9BUM1	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000160211	G6PD	G6PD1	"Glucose-6-phosphate dehydrogenase"	P11413	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000128683	GAD1	GAD	"Glutamate decarboxylase 1"	Q99259	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000054983	GALC		Galactosylceramidase	P54803	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000117308	GALE	SDR1E1	UDP-galactose-4-epimerase	Q14376	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000108479	GALK1	GALK	"Galactokinase 1"	P51570	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000141012	GALNS	"GALNAC6S, GAS"	"Galactosamine (N-acetyl)-6-sulfatase"	P34059	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000178234	GALNT11	GalNAc-T11	"Polypeptide N-acetylgalactosaminyltransferase 11"	Q8NCW6	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000119514	GALNT12	GalNAc-T12	"Polypeptide N-acetylgalactosaminyltransferase 12"	Q8IXK2	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000185274	GALNT17	"GalNAc-T17, GalNAc-T19, GalNAc-T5L, GALNTL3, ppGalNAc-T17, WBSCR17"	"Polypeptide N-acetylgalactosaminyltransferase 17"	Q6IS24	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000115339	GALNT3	"GalNAc-T3, HFTC, HHS"	"Polypeptide N-acetylgalactosaminyltransferase 3"	Q14435	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000213930	GALT		"Galactose-1-phosphate uridylyltransferase"	P07902	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000106105	GARS	"CMT2D, DSMAV, GlyRS, SMAD1"	"Glycyl-tRNA synthetase"	P41250	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000171766	GATM	AGAT	"Glycine amidinotransferase"	P50440	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000177628	GBA	"GBA1, GLUC"	"Glucosylceramidase beta"	P04062	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000070610	GBA2	"AD035, DKFZp762K054, KIAA1605, SPG46"	"Glucosylceramidase beta 2"	Q9HCG7	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000114480	GBE1		"1,4-alpha-glucan branching enzyme 1"	Q04446	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000105607	GCDH	ACAD5	"Glutaryl-CoA dehydrogenase"	Q92947	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000131979	GCH1	"DYT14, DYT5, DYT5a, GCH, GTPCH1"	"GTP cyclohydrolase 1"	P30793	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000106633	GCK	"HK4, MODY2"	Glucokinase	P35557	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000001084	GCLC	"GCS, GLCL, GLCLC"	"Glutamate-cysteine ligase catalytic subunit"	P48506	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000111846	GCNT2	"bA360O19.2, bA421M1.1, CCAT, GCNT5, IGNT, II, NACGT1, NAGCT1, ULG3"	"Glucosaminyl (N-acetyl) transferase 2, I-branching enzyme (I blood group)"	Q8N0V5	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000127554	GFER	"ALR, ERV1, HERV1, HPO1, HPO2, HSS"	"Growth factor, augmenter of liver regeneration"	P55789	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000198380	GFPT1	"GFA, GFAT, GFAT1, GFPT"	"Glutamine--fructose-6-phosphate transaminase 1"	Q06210	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000100031	GGT1	"CD224, D22S672, D22S732, GGT"	"Gamma-glutamyltransferase 1"	P19440	"Candidate cardiovascular disease genes, CD markers, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000121853	GHSR		"Growth hormone secretagogue receptor"	Q92847	"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000121743	GJA3	"CX46, CZP3"	"Gap junction protein alpha 3"	Q9Y6H8	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000121634	GJA8	"CAE, CAE1, CX50, CZP1"	"Gap junction protein alpha 8"	P48165	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000169562	GJB1	"CMTX, CMTX1, CX32"	"Gap junction protein beta 1"	P08034	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000165474	GJB2	"CX26, DFNA3, DFNB1, NSRD1"	"Gap junction protein beta 2"	P29033	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000188910	GJB3	"CX31, DFNA2, EKV"	"Gap junction protein beta 3"	O75712	"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000198814	GK	"GK1, GKD"	"Glycerol kinase"	P32189	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000102393	GLA	GALA	"Galactosidase alpha"	P06280	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000170266	GLB1	"EBP, ELNR1"	"Galactosidase beta 1"	P16278	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000178445	GLDC	"GCSP, NKH"	"Glycine decarboxylase"	P23378	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000119392	GLE1	"GLE1L, hGLE1, LCCS1"	"GLE1, RNA export mediator"	Q53GS7	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000148672	GLUD1	"GDH, GLUD"	"Glutamate dehydrogenase 1"	P00367	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000135821	GLUL	GLNS	"Glutamate-ammonia ligase"	P15104	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000168237	GLYCTK	"HBEBP2, HBEBP4"	"Glycerate kinase"	Q8IVS8	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000173540	GMPPB	KIAA1851	"GDP-mannose pyrophosphorylase B"	Q9Y5P6	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000163655	GMPS	GATD7	"Guanine monophosphate synthase"	P49915	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000087460	GNAS	"GNAS1, GNASXL, GPSA, NESP, NESP55, SCG6, SgVI"	"GNAS complex locus"	"O95467, P63092, P84996, Q5JWF2"	"Cancer-related genes, Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000078369	GNB1		"G protein subunit beta 1"	P62873	"Cancer-related genes, Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins, Transporters"
ENSG00000159921	GNE	"IBM2, Uae1"	"Glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase"	Q9Y223	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000124713	GNMT		"Glycine N-methyltransferase"	Q14749	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000116906	GNPAT	"DAP-AT, DAPAT, DHAPAT"	"Glyceronephosphate O-acyltransferase"	O15228	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000111670	GNPTAB	"GNPTA, KIAA1208, MGC4170"	"N-acetylglucosamine-1-phosphate transferase alpha and beta subunits"	Q3T906	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000135677	GNS		"Glucosamine (N-acetyl)-6-sulfatase"	P15586	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000167588	GPD1		"Glycerol-3-phosphate dehydrogenase 1"	P21695	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000152642	GPD1L	KIAA0089	"Glycerol-3-phosphate dehydrogenase 1 like"	Q8N335	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000171723	GPHN	KIAA1385	Gephyrin	Q9NQX3	"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000105220	GPI	"AMF, NLK"	"Glucose-6-phosphate isomerase"	P06744	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"
ENSG00000165370	GPR101		"G protein-coupled receptor 101"	Q96P66	"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins"
ENSG00000101850	GPR143	OA1	"G protein-coupled receptor 143"	P51810	"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000119714	GPR68	OGR1	"G protein-coupled receptor 68"	Q15743	"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins"
ENSG00000181656	GPR88		"G protein-coupled receptor 88"	Q9GZN0	"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins"
ENSG00000166123	GPT2	ALT2	"Glutamic--pyruvic transaminase 2"	Q8TD30	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000167468	GPX4	"MCSP, PHGPx"	"Glutathione peroxidase 4"	P36969	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000116157	GPX7	"FLJ14777, GPX6, NPGPx"	"Glutathione peroxidase 7"	Q96SL4	"Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins"
ENSG00000137106	GRHPR	"GLXR, PH2"	"Glyoxylate and hydroxypyruvate reductase"	Q9UBQ7	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000125675	GRIA3	"GluA3, GLUR3, GLURC, MRX94"	"Glutamate ionotropic receptor AMPA type subunit 3"	P42263	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ENSG00000185974	GRK1	"GPRK1, RHOK, RK"	"G protein-coupled receptor kinase 1"	Q15835	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000152822	GRM1	"GPRC1A, mGlu1, MGLUR1, PPP1R85"	"Glutamate metabotropic receptor 1"	Q13255	"Disease related genes, G-protein coupled receptors, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000113262	GRM6	"CSNB1B, GPRC1F, mGlu6, MGLUR6"	"Glutamate metabotropic receptor 6"	O15303	"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins"
ENSG00000105928	GSDME	"DFNA5, ICERE-1"	"Gasdermin E"	O60443	"Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"
ENSG00000100577	GSTZ1	"GSTZ1-1, MAAI, MAI"	"Glutathione S-transferase zeta 1"	O43708	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000164116	GUCY1A1	"GC-SA3, GUC1A3, GUCY1A3"	"Guanylate cyclase 1 soluble subunit alpha 1"	Q02108	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000132518	GUCY2D	"CORD6, CYGD, GUC1A4, GUC2D, LCA, LCA1, retGC, RETGC-1, ROS-GC1"	"Guanylate cyclase 2D, retinal"	Q02846	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins, Transporters"
ENSG00000169919	GUSB		"Glucuronidase beta"	P08236	"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000163754	GYG1	GYG	"Glycogenin 1"	P46976	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000104812	GYS1	"GSY, GYS"	"Glycogen synthase 1"	P13807	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000111713	GYS2		"Glycogen synthase 2"	P54840	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000049239	H6PD	GDH	"Hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase"	O95479	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000162882	HAAO		"3-hydroxyanthranilate 3,4-dioxygenase"	P46952	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000148702	HABP2	"FSAP, HABP, HGFAL, PHBP"	"Hyaluronan binding protein 2"	Q14520	"Candidate cardiovascular disease genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"
ENSG00000165996	HACD1	"CAP, PTPLA"	"3-hydroxyacyl-CoA dehydratase 1"	B0YJ81	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ENSG00000085382	HACE1	KIAA1320	"HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1"	Q8IYU2	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000138796	HADH	"HADH1, HADHSC, SCHAD"	"Hydroxyacyl-CoA dehydrogenase"	Q16836	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000084754	HADHA	"GBP, LCEH, LCHAD, MTPA"	"Hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha"	P40939	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000138029	HADHB	MTPB	"Hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta"	P55084	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000084110	HAL	HIS	"Histidine ammonia-lyase"	P42357	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000105697	HAMP	"HEPC, HFE2B, LEAP-1, LEAP1"	"Hepcidin antimicrobial peptide"	P81172	"Disease related genes, Potential drug targets, Predicted secreted proteins, Transporters"
ENSG00000170445	HARS	USH3B	"Histidyl-tRNA synthetase"	P12081	"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ENSG00000112855	HARS2	"HARSL, HARSR, HO3"	"Histidyl-tRNA synthetase 2, mitochondrial"	P49590	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ENSG00000170961	HAS2		"Hyaluronan synthase 2"	Q92819	"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ENSG00000004961	HCCS	"CCHL, MLS"	"Holocytochrome c synthase"	P53701	"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
